date, pm25, pm10, o3
2022/4/25, 17, , 
2022/4/26, 11, , 
2022/4/27, 11, , 
2022/4/28, 14, , 
2022/4/29, 11, , 
2022/4/30, 14, , 
2022/3/1, 13, , 
2022/3/2, 17, , 
2022/3/3, 10, , 
2022/3/4, 10, , 
2022/3/5, 12, , 
2022/3/6, 17, , 
2022/3/7, 17, , 
2022/3/8, 13, , 
2022/3/9, 12, , 
2022/3/10, 15, , 
2022/3/11, 18, , 
2022/3/12, 18, , 
2022/3/13, 11, , 
2022/3/14, 14, , 
2022/3/15, 17, , 
2022/3/16, 11, , 
2022/3/17, 15, , 
2022/3/18, 13, , 
2022/3/19, 13, , 
2022/3/20, 11, , 
2022/3/21, 13, , 
2022/3/22, 14, , 
2022/3/23, 11, , 
2022/3/24, 11, , 
2022/3/25, 12, , 
2022/3/26, 15, , 
2022/3/27, 17, , 
2022/3/28, 17, , 
2022/3/29, 12, , 
2022/3/30, 11, , 
2022/3/31, 10, , 
2022/2/1, 10, , 
2022/2/2, 13, , 
2022/2/3, 11, , 
2022/2/4, 20, , 
2022/2/5, 12, , 
2022/2/6, 17, , 
2022/2/7, 16, , 
2022/2/8, 14, , 
2022/2/9, 12, , 
2022/2/10, 14, , 
2022/2/11, 18, , 
2022/2/12, 15, , 
2022/2/13, 22, , 
2022/2/14, 16, , 
2022/2/15, 11, , 
2022/2/16, 10, , 
2022/2/17, 13, , 
2022/2/18, 14, , 
2022/2/19, 16, , 
2022/2/20, 11, , 
2022/2/21, 12, , 
2022/2/22, 13, , 
2022/2/23, 15, , 
2022/2/24, 20, , 
2022/2/25, 23, , 
2022/2/26, 25, , 
2022/2/27, 30, , 
2022/2/28, 39, , 
2022/1/3, 78, , 
2022/1/4, 47, , 
2022/1/5, 25, , 
2022/1/6, 35, , 
2022/1/7, 39, , 
2022/1/8, 18, , 
2022/1/9, 30, , 
2022/1/10, 56, , 
2022/1/11, 66, , 
2022/1/12, 62, , 
2022/1/13, 59, , 
2022/1/14, 28, , 
2022/1/15, 18, , 
2022/1/16, 14, , 
2022/1/17, 18, , 
2022/1/18, 13, , 
2022/1/19, 18, , 
2022/1/20, 22, , 
2022/1/21, 12, , 
2022/1/22, 13, , 
2022/1/23, 16, , 
2022/1/24, 17, , 
2022/1/25, 18, , 
2022/1/26, 14, , 
2022/1/27, 16, , 
2022/1/28, 19, , 
2022/1/29, 22, , 
2022/1/30, 24, , 
2022/1/31, 10, , 
2021/10/1, 12, , 
2021/10/2, 13, , 
2021/10/3, 15, , 
2021/10/4, 18, , 
2021/10/5, 19, , 
2021/10/6, 10, , 
2021/10/7, 11, , 
2021/10/8, 17, , 
2021/10/9, 18, , 
2021/10/10, 12, , 
2021/10/11, 11, , 
2021/10/12, 15, , 
2021/10/13, 13, , 
2021/10/14, 11, , 
2021/10/15, 16, , 
2021/10/16, 24, , 
2021/10/17, 31, , 
2021/10/18, 16, , 
2021/10/19, 44, , 
2021/10/20, 24, , 
2021/10/21, 29, , 
2021/10/22, 19, , 
2021/10/23, 34, , 
2021/10/24, 28, , 
2021/10/25, 21, , 
2021/10/26, 15, , 
2021/10/27, 15, , 
2021/10/28, 31, , 
2021/10/29, 14, , 
2021/10/30, 25, , 
2021/10/31, 28, , 
2021/11/1, 44, , 
2021/11/2, 51, , 
2021/11/3, 56, , 
2021/11/4, 40, , 
2021/11/5, 17, , 
2021/11/6, 36, , 
2021/11/7, 17, , 
2021/11/8, 18, , 
2021/11/9, 15, , 
2021/11/10, 27, , 
2021/11/11, 41, , 
2021/11/12, 36, , 
2021/11/13, 35, , 
2021/11/14, 30, , 
2021/11/15, 13, , 
2021/11/16, 14, , 
2021/11/17, 21, , 
2021/11/18, 25, , 
2021/11/19, 40, , 
2021/11/20, 19, , 
2021/11/21, 39, , 
2021/11/22, 42, , 
2021/11/23, 33, , 
2021/11/24, 22, , 
2021/11/25, 46, , 
2021/11/26, 21, , 
2021/11/27, 39, , 
2021/11/28, 21, , 
2021/11/29, 17, , 
2021/11/30, 20, , 
2021/12/1, 26, , 
2021/12/2, 15, , 
2021/12/3, 32, , 
2021/12/4, 38, , 
2021/12/5, 14, , 
2021/12/6, 42, , 
2021/12/7, 45, , 
2021/12/8, 23, , 
2021/12/9, 12, , 
2021/12/10, 14, , 
2021/12/11, 16, , 
2021/12/12, 17, , 
2021/12/13, 28, , 
2021/12/14, 18, , 
2021/12/15, 21, , 
2021/12/16, 37, , 
2021/12/17, 17, , 
2021/12/18, 29, , 
2021/12/19, 16, , 
2021/12/20, 31, , 
2021/12/21, 52, , 
2021/12/22, 48, , 
2021/12/23, 25, , 
2021/12/24, 19, , 
2021/12/25, 25, , 
2021/12/26, 16, , 
2021/12/27, 18, , 
2021/12/28, 28, , 
2021/12/29, 26, , 
2021/12/30, 34, , 
2021/12/31, 26, , 
2022/1/1, 39, , 
2022/1/2, 60, , 
2021/7/1, 22, , 
2021/7/2, 28, , 
2021/7/3, 44, , 
2021/7/4, 21, , 
2021/7/5, 16, , 
2021/7/6, 13, , 
2021/7/7, 17, , 
2021/7/8, 14, , 
2021/7/9, 16, , 
2021/7/10, 28, , 
2021/7/11, 20, , 
2021/7/12, 20, , 
2021/7/13, 23, , 
2021/7/14, 26, , 
2021/7/15, 13, , 
2021/7/16, 11, , 
2021/7/17, 13, , 
2021/7/18, 13, , 
2021/7/19, 13, , 
2021/7/20, 13, , 
2021/7/21, 13, , 
2021/7/22, 11, , 
2021/7/23, 13, , 
2021/7/24, 18, , 
2021/7/25, 15, , 
2021/7/26, 14, , 
2021/7/27, 17, , 
2021/7/28, 21, , 
2021/7/29, 28, , 
2021/7/30, 37, , 
2021/7/31, 46, , 
2021/8/1, 45, , 
2021/8/2, 65, , 
2021/8/3, 71, , 
2021/8/4, 57, , 
2021/8/5, 31, , 
2021/8/6, 10, , 
2021/8/7, 10, , 
2021/8/8, 13, , 
2021/8/9, 19, , 
2021/8/10, 18, , 
2021/8/11, 31, , 
2021/8/12, 97, , 
2021/8/13, 159, , 
2021/8/14, 90, , 
2021/8/15, 37, , 
2021/8/16, 20, , 
2021/8/17, 14, , 
2021/8/18, 35, , 
2021/8/19, 20, , 
2021/8/20, 12, , 
2021/8/21, 14, , 
2021/8/22, 17, , 
2021/8/23, 19, , 
2021/8/24, 24, , 
2021/8/25, 30, , 
2021/8/26, 13, , 
2021/8/27, 12, , 
2021/8/28, 34, , 
2021/8/29, 44, , 
2021/8/30, 13, , 
2021/8/31, 15, , 
2021/9/1, 27, , 
2021/9/2, 31, , 
2021/9/3, 48, , 
2021/9/4, 81, , 
2021/9/5, 25, , 
2021/9/6, 12, , 
2021/9/7, 31, , 
2021/9/8, 62, , 
2021/9/9, 29, , 
2021/9/10, 15, , 
2021/9/11, 11, , 
2021/9/12, 12, , 
2021/9/13, 14, , 
2021/9/14, 15, , 
2021/9/15, 11, , 
2021/9/16, 12, , 
2021/9/17, 27, , 
2021/9/18, 15, , 
2021/9/19, 10, , 
2021/9/20, 13, , 
2021/9/21, 14, , 
2021/9/22, 14, , 
2021/9/23, 11, , 
2021/9/24, 14, , 
2021/9/25, 21, , 
2021/9/26, 18, , 
2021/9/27, 11, , 
2021/9/28, 11, , 
2021/9/29, 12, , 
2021/9/30, 13, , 
2021/4/1, 25, , 
2021/4/2, 25, , 
2021/4/3, 25, , 
2021/4/4, 15, , 
2021/4/5, 12, , 
2021/4/6, 15, , 
2021/4/7, 18, , 
2021/4/8, 13, , 
2021/4/9, 19, , 
