day,o3_avg,o3_max,o3_min,pm10_avg,pm10_max,pm10_min,pm25_max,pm25_avg,pm25_min
2022-12-09,1,5,1,73,73,73,174,174,174
2022-12-10,8,17,1,31,73,10,174,95,42
2022-12-11,3,9,1,43,58,25,158,125,82
2022-12-12,3,16,1,28,50,5,149,90,27
2022-12-13,8,16,1,21,58,1,159,73,8
2022-12-14,2,6,1,46,58,28,159,132,89
2022-12-15,7,13,1,27,58,18,158,87,64
2022-12-16,3,5,1,39,58,1,159,114,21
